threshold,cost,precision,recall,f1,tp,fp,tn,fn
0.0,28.0,0.5409836065573771,1.0,0.7021276595744682,33,28,0,0
0.005,28.0,0.5409836065573771,1.0,0.7021276595744682,33,28,0,0
0.01,28.0,0.5409836065573771,1.0,0.7021276595744682,33,28,0,0
0.015,28.0,0.5409836065573771,1.0,0.7021276595744682,33,28,0,0
0.02,28.0,0.5409836065573771,1.0,0.7021276595744682,33,28,0,0
0.025,28.0,0.5409836065573771,1.0,0.7021276595744682,33,28,0,0
0.03,28.0,0.5409836065573771,1.0,0.7021276595744682,33,28,0,0
0.035,28.0,0.5409836065573771,1.0,0.7021276595744682,33,28,0,0
0.04,27.0,0.55,1.0,0.7096774193548387,33,27,1,0
0.045,26.0,0.559322033898305,1.0,0.717391304347826,33,26,2,0
0.05,25.0,0.5689655172413793,1.0,0.7252747252747253,33,25,3,0
0.055,25.0,0.5689655172413793,1.0,0.7252747252747253,33,25,3,0
0.06,23.0,0.5892857142857143,1.0,0.7415730337078651,33,23,5,0
0.065,22.0,0.6,1.0,0.7499999999999999,33,22,6,0
0.07,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.075,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.08,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.085,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.09,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.095,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.1,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.105,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.11,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.115,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.12,21.0,0.6111111111111112,1.0,0.7586206896551725,33,21,7,0
0.125,19.0,0.6346153846153846,1.0,0.7764705882352941,33,19,9,0
0.13,19.0,0.6346153846153846,1.0,0.7764705882352941,33,19,9,0
0.135,18.0,0.6470588235294118,1.0,0.7857142857142858,33,18,10,0
0.14,18.0,0.6470588235294118,1.0,0.7857142857142858,33,18,10,0
0.145,18.0,0.6470588235294118,1.0,0.7857142857142858,33,18,10,0
0.15,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.155,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.16,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.165,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.17,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.17500000000000002,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.18,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.185,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.19,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.195,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.2,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.20500000000000002,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.21,17.0,0.66,1.0,0.7951807228915663,33,17,11,0
0.215,22.0,0.6530612244897959,0.9696969696969697,0.7804878048780488,32,17,11,1
0.22,27.0,0.6458333333333334,0.9393939393939394,0.7654320987654321,31,17,11,2
0.225,26.0,0.6595744680851063,0.9393939393939394,0.775,31,16,12,2
0.23,26.0,0.6595744680851063,0.9393939393939394,0.775,31,16,12,2
