fpr,tpr,threshold
0.0,0.0,inf
0.0,0.030303030303030304,0.9478786564584805
0.0,0.5454545454545454,0.8096937087822449
0.10714285714285714,0.5454545454545454,0.7805548458853745
0.10714285714285714,0.6060606060606061,0.7167035289640565
0.14285714285714285,0.6060606060606061,0.6833915468386603
0.14285714285714285,0.8484848484848485,0.5370160667848135
0.17857142857142858,0.8484848484848485,0.5251654410770147
0.17857142857142858,0.8787878787878788,0.5201710896251478
0.21428571428571427,0.8787878787878788,0.4920239743750067
0.21428571428571427,0.9393939393939394,0.4763432129277303
0.6071428571428571,0.9393939393939394,0.22357672608086465
0.6071428571428571,1.0,0.21447857887106778
1.0,1.0,0.03505797564833617
