precision,recall,threshold
0.5409836065573771,1.0,0.03505797564833617
0.55,1.0,0.042138789209378566
0.559322033898305,1.0,0.049671463472382604
0.5689655172413793,1.0,0.05621328091290869
0.5789473684210527,1.0,0.05988653281147508
0.5892857142857143,1.0,0.06489346999737479
0.6,1.0,0.06563178047569394
0.6111111111111112,1.0,0.12216254291941259
0.6226415094339622,1.0,0.12295305907006691
0.6346153846153846,1.0,0.13142298131680355
0.6470588235294118,1.0,0.14821611737358073
0.66,1.0,0.21447857887106778
0.6530612244897959,0.9696969696969697,0.21808420159489264
0.6458333333333334,0.9393939393939394,0.22357672608086465
0.6595744680851063,0.9393939393939394,0.23153141191462476
0.6739130434782609,0.9393939393939394,0.26210744193120894
0.6888888888888889,0.9393939393939394,0.27504168095100134
0.7045454545454546,0.9393939393939394,0.28949430827660666
0.7209302325581395,0.9393939393939394,0.3033012513331587
0.7380952380952381,0.9393939393939394,0.3377046114431474
0.7560975609756098,0.9393939393939394,0.3747807862075151
0.775,0.9393939393939394,0.41641250465152446
0.7948717948717948,0.9393939393939394,0.4405288635747971
0.8157894736842105,0.9393939393939394,0.44194624179282255
0.8378378378378378,0.9393939393939394,0.4763432129277303
0.8333333333333334,0.9090909090909091,0.48785491587692664
0.8285714285714286,0.8787878787878788,0.4920239743750067
0.8529411764705882,0.8787878787878788,0.5201710896251478
0.8484848484848485,0.8484848484848485,0.5251654410770147
0.875,0.8484848484848485,0.5370160667848135
0.8709677419354839,0.8181818181818182,0.5905052457005742
0.8666666666666667,0.7878787878787878,0.6003727323364608
0.8620689655172413,0.7575757575757576,0.608060859491238
0.8571428571428571,0.7272727272727273,0.6143757415025329
0.8518518518518519,0.696969696969697,0.627469489018853
0.8461538461538461,0.6666666666666666,0.6504002219731828
0.84,0.6363636363636364,0.6593752310996205
0.8333333333333334,0.6060606060606061,0.6833915468386603
0.8695652173913043,0.6060606060606061,0.7167035289640565
0.8636363636363636,0.5757575757575758,0.7415413146879035
0.8571428571428571,0.5454545454545454,0.7805548458853745
0.9,0.5454545454545454,0.7848498006515386
0.9473684210526315,0.5454545454545454,0.7941990815856611
1.0,0.5454545454545454,0.8096937087822449
1.0,0.5151515151515151,0.8329558500889964
1.0,0.48484848484848486,0.8445673139448019
1.0,0.45454545454545453,0.8561972323607664
1.0,0.42424242424242425,0.858835305078249
1.0,0.3939393939393939,0.8607760536561785
1.0,0.36363636363636365,0.8631382126992502
1.0,0.3333333333333333,0.8754525001221369
1.0,0.30303030303030304,0.8777162648123186
1.0,0.2727272727272727,0.8881621166867014
1.0,0.24242424242424243,0.8919891312738023
1.0,0.21212121212121213,0.8967434822853015
1.0,0.18181818181818182,0.902622008845069
1.0,0.15151515151515152,0.9078431006822699
1.0,0.12121212121212122,0.9260142864152575
1.0,0.09090909090909091,0.9297268886579169
1.0,0.06060606060606061,0.9415313713799041
1.0,0.030303030303030304,0.9478786564584805
1.0,0.0,
